# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.5
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = ConstantCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
1.5400,2.33222,-0.00160491,0.138607,0.0198444,-0.0692117,-0.000661852,2.48393,-0.000855379,-0.000548363,0.00520922,-0.00375634,0.00219447,0.00211098,-0.00211098,-0.0406016,0.0406016,1525,0.00239843,-0.00239843,-0.0180728,0.0180728,1525
1.5600,2.382,-0.0016565,0.142043,0.0199179,-0.0692958,-0.000619022,2.49496,-0.000946746,-0.000723892,0.00382599,-0.00416421,0.00221943,0.00215538,-0.00215538,-0.0427206,0.0427206,1525,0.00234094,-0.00234094,-0.0225786,0.0225786,1525
1.5800,2.43199,-0.00170786,0.145494,0.0199632,-0.0693911,-0.000575951,2.50564,-0.00103926,-0.000933491,0.00241445,-0.00472232,0.00224287,0.00220864,-0.00220864,-0.0443086,0.0443086,1525,0.00230383,-0.00230383,-0.026607,0.026607,1525
1.6000,2.48219,-0.00175895,0.148959,0.0199803,-0.0695002,-0.000532709,2.516,-0.00113266,-0.001177,0.00100143,-0.00541099,0.00226535,0.0022682,-0.0022682,-0.0453927,0.0453927,1525,0.00228479,-0.00228479,-0.0301473,0.0301473,1525
1.6200,2.53259,-0.00180974,0.152437,0.0199695,-0.0696253,-0.000489348,2.52603,-0.00122674,-0.00145372,-0.00038828,-0.00620987,0.00228736,0.00233182,-0.00233182,-0.0460064,0.0460064,1525,0.00228147,-0.00228147,-0.0331964,0.0331964,1525
1.6400,2.58319,-0.00186022,0.15593,0.0199318,-0.0697682,-0.000445901,2.53574,-0.0013213,-0.00176242,-0.00173217,-0.00709826,0.0023093,0.00239756,-0.00239756,-0.0461883,0.0461883,1525,0.00229154,-0.00229154,-0.0357584,0.0357584,1525
1.6600,2.63397,-0.00191034,0.159436,0.0198686,-0.0699302,-0.000402384,2.54516,-0.00141618,-0.00210139,-0.00301022,-0.00805548,0.00233153,0.00246377,-0.00246377,-0.0459811,0.0459811,1525,0.00231274,-0.00231274,-0.0378444,0.0378444,1525
1.6800,2.68493,-0.00196009,0.162956,0.0197814,-0.0701123,-0.000358801,2.55427,-0.00151122,-0.00246855,-0.00420502,-0.0090612,0.00235433,0.00252912,-0.00252912,-0.0454312,0.0454312,1525,0.00234295,-0.00234295,-0.0394717,0.0394717,1525
1.7000,2.73608,-0.00200943,0.166489,0.0196723,-0.0703151,-0.000315139,2.5631,-0.00160633,-0.00286143,-0.00530183,-0.0100958,0.00237791,0.0025925,-0.0025925,-0.0445868,0.0445868,1525,0.00238018,-0.00238018,-0.0406636,0.0406636,1525
1.7200,2.78739,-0.00205833,0.170037,0.0195435,-0.0705388,-0.000271374,2.57165,-0.00170142,-0.00327729,-0.00628864,-0.0111406,0.00240245,0.00265307,-0.00265307,-0.0434978,0.0434978,1525,0.00242265,-0.00242265,-0.0414483,0.0414483,1525
