# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = GaussMarkovCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.5600,0.348178,0.000390844,0.0192145,0.0416624,-0.022875,-0.000243811,1.26257,0.00129384,0.0241185,0.0288752,-0.0740608,0.0015245,-0.00426939,0.00426939,-0.0234855,0.0234855,1525,-0.00362777,0.00362777,-0.0646546,0.0646546,1522.05
0.5800,0.37427,0.000388325,0.0202764,0.042,-0.0243855,-0.00027638,1.30551,0.00115986,0.0232103,0.0168453,-0.0755259,0.00151897,-0.00406113,0.00406113,-0.013953,0.013953,1525,-0.0037561,0.0037561,-0.0564208,0.0564208,1522.64
0.6000,0.401203,0.000382636,0.0213791,0.0421047,-0.0259221,-0.000311052,1.34759,0.00102338,0.022263,0.00519237,-0.0768347,0.00149435,-0.0037555,0.0037555,-0.00438238,0.00438238,1525,-0.0038171,0.0038171,-0.0479272,0.0479272,1523.11
0.6200,0.428962,0.000373775,0.0225256,0.0419871,-0.0274814,-0.000347685,1.38895,0.000886411,0.0213092,-0.00592723,-0.0779722,0.00145226,-0.00336049,0.00336049,0.00501783,-0.00501783,1525,-0.00380478,0.00380478,-0.0392182,0.0392182,1523.49
0.6400,0.457527,0.000361823,0.0237174,0.0416607,-0.02906,-0.000386158,1.42936,0.000752183,0.0203101,-0.0163726,-0.0789435,0.00139194,-0.0028726,0.0028726,0.0144353,-0.0144353,1525,-0.00371592,0.00371592,-0.030371,0.030371,1523.79
0.6600,0.486879,0.000346886,0.0249564,0.0411414,-0.0306545,-0.000426324,1.4688,0.000622975,0.0192696,-0.0260257,-0.0797378,0.00131469,-0.00229839,0.00229839,0.0238131,-0.0238131,1525,-0.00354726,0.00354726,-0.0214098,0.0214098,1524.03
0.6800,0.516999,0.000329093,0.026244,0.0404469,-0.032261,-0.00046801,1.50726,0.000500906,0.0181888,-0.0347895,-0.0803424,0.00122216,-0.00164607,0.00164607,0.0331016,-0.0331016,1525,-0.00329748,0.00329748,-0.0123652,0.0123652,1524.23
0.7000,0.54787,0.000308559,0.0275824,0.0395965,-0.0338756,-0.000511001,1.54488,0.000387324,0.0170965,-0.0425902,-0.0807514,0.00111771,-0.000932063,0.000932063,0.0421274,-0.0421274,1525,-0.0029672,0.0029672,-0.00327183,0.00327183,1524.38
0.7200,0.579475,0.000285404,0.0289737,0.0386105,-0.0354944,-0.000555058,1.58173,0.000283566,0.0160054,-0.0493748,-0.0809634,0.00100425,-0.000170745,0.000170745,0.050805,-0.050805,1525,-0.00256017,0.00256017,0.00580801,-0.00580801,1524.51
0.7400,0.611798,0.000259777,0.0304196,0.0375099,-0.0371131,-0.000599928,1.61767,0.000191103,0.0149025,-0.0551089,-0.0809625,0.000883788,0.000627776,-0.000627776,0.0591469,-0.0591469,1525,-0.00208229,0.00208229,0.0148074,-0.0148074,1524.6
