# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = ConstantCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.5800,0.301145,0.000427179,0.00209503,0.0436147,-0.0197854,-0.000284308,1.1737,1.21514e-05,-0.00629324,0.0174639,-0.0659628,0.00127689,-0.00288601,0.00288601,0.0817993,-0.0817993,1525,-0.00277362,0.00277362,0.0540284,-0.0540284,1522.64
0.6000,0.325446,0.00042378,0.00243837,0.0437242,-0.0211136,-0.000317341,1.21519,-0.000124479,-0.00687714,0.00544257,-0.0664209,0.00124583,-0.00255215,0.00255215,0.0863898,-0.0863898,1525,-0.0027961,0.0027961,0.0595826,-0.0595826,1523.11
0.6200,0.350557,0.000417265,0.00281928,0.0436046,-0.0224458,-0.00035166,1.25567,-0.000253672,-0.00746157,-0.00601525,-0.066622,0.00119765,-0.00213165,0.00213165,0.0905097,-0.0905097,1525,-0.00274731,0.00274731,0.064944,-0.064944,1523.49
0.6400,0.376457,0.000407702,0.00323969,0.0432701,-0.0237769,-0.000387044,1.29514,-0.000373633,-0.00804111,-0.0167673,-0.066565,0.00113399,-0.00163284,0.00163284,0.0941051,-0.0941051,1525,-0.00262418,0.00262418,0.0700572,-0.0700572,1523.79
0.6600,0.403126,0.000395181,0.00370141,0.0427371,-0.0251016,-0.000423248,1.33362,-0.000482868,-0.00861031,-0.0266933,-0.0662508,0.00105706,-0.00106667,0.00106667,0.0971256,-0.0971256,1525,-0.00242591,0.00242591,0.0748667,-0.0748667,1524.03
0.6800,0.430544,0.000379813,0.00420613,0.0420241,-0.0264148,-0.000460011,1.37112,-0.000580201,-0.00916386,-0.0356948,-0.0656823,0.000969512,-0.00044631,0.00044631,0.099526,-0.099526,1525,-0.00215406,0.00215406,0.0793185,-0.0793185,1524.23
0.7000,0.458693,0.000361728,0.00475544,0.0411512,-0.0277117,-0.000497054,1.40764,-0.000664789,-0.00969661,-0.0436956,-0.0648645,0.000874353,0.000213328,-0.000213328,0.101266,-0.101266,1525,-0.00181251,0.00181251,0.08336,-0.08336,1524.38
0.7200,0.487551,0.000341069,0.00535078,0.0401394,-0.0289874,-0.000534083,1.44319,-0.000736115,-0.0102037,-0.050641,-0.063805,0.000774845,0.000896105,-0.000896105,0.102314,-0.102314,1525,-0.00140734,0.00140734,0.0869413,-0.0869413,1524.51
0.7400,0.517101,0.000317992,0.00599342,0.0390105,-0.0302372,-0.000570793,1.4778,-0.000793991,-0.0106807,-0.0564973,-0.0625136,0.000674382,0.00158523,-0.00158523,0.102644,-0.102644,1525,-0.000946654,0.000946654,0.0900159,-0.0900159,1524.6
0.7600,0.547323,0.00029266,0.00668448,0.0377866,-0.0314567,-0.000606874,1.51148,-0.000838535,-0.0111235,-0.0612505,-0.0610028,0.000576366,0.00226386,-0.00226386,0.10224,-0.10224,1525,-0.000440277,0.000440277,0.0925416,-0.0925416,1524.68
0.7800,0.5782,0.000265242,0.0074249,0.0364896,-0.032642,-0.000642011,1.54423,-0.000870153,-0.0115288,-0.0649049,-0.0592875,0.000484085,0.00291569,-0.00291569,0.101093,-0.101093,1525,0.00010055,-0.00010055,0.0944812,-0.0944812,1524.75
0.8000,0.609712,0.00023591,0.00821541,0.0351411,-0.0337892,-0.000675892,1.57608,-0.000889511,-0.0118935,-0.0674818,-0.0573852,0.000400598,0.00352552,-0.00352552,0.0992068,-0.0992068,1525,0.000663578,-0.000663578,0.0958036,-0.0958036,1524.8
0.8200,0.641843,0.000204838,0.00905657,0.0337618,-0.0348951,-0.000708211,1.60704,-0.000897499,-0.0122156,-0.069018,-0.0553156,0.000328632,0.00407974,-0.00407974,0.0965923,-0.0965923,1525,0.00123597,-0.00123597,0.0964843,-0.0964843,1524.84
0.8400,0.674575,0.000172198,0.00994872,0.0323716,-0.0359567,-0.000738672,1.63714,-0.000895195,-0.0124934,-0.0695636,-0.0531007,0.000270497,0.00456678,-0.00456678,0.0932719,-0.0932719,1525,0.00180472,-0.00180472,0.0965059,-0.0965059,1524.87
0.8600,0.70789,0.000138159,0.010892,0.030989,-0.0369716,-0.000766993,1.66638,-0.000883821,-0.0127264,-0.0691805,-0.0507646,0.000228013,0.00497744,-0.00497744,0.0892776,-0.0892776,1525,0.00235713,-0.00235713,0.0958591,-0.0958591,1524.9
0.8800,0.741772,0.000102889,0.0118864,0.0296311,-0.0379379,-0.000792914,1.69479,-0.00086471,-0.0129145,-0.0679404,-0.048333,0.000202466,0.00530511,-0.00530511,0.0846513,-0.0846513,1525,0.0028812,-0.0028812,0.0945428,-0.0945428,1524.92
0.9000,0.776205,6.6547e-05,0.0129316,0.0283136,-0.0388543,-0.000816199,1.72238,-0.000839257,-0.0130586,-0.0659227,-0.0458329,0.000194581,0.0055459,-0.0055459,0.079444,-0.079444,1525,0.00336598,-0.00336598,0.0925645,-0.0925645,1524.93
0.9200,0.811172,2.92869e-05,0.0140271,0.0270501,-0.0397199,-0.000836637,1.74917,-0.000808885,-0.0131602,-0.0632132,-0.0432924,0.000204522,0.0056987,-0.0056987,0.0737155,-0.0737155,1525,0.00380196,-0.00380196,0.0899404,-0.0899404,1524.95
0.9400,0.846658,-8.74443e-06,0.0151724,0.0258528,-0.0405346,-0.000854053,1.77517,-0.000775009,-0.0132217,-0.0599017,-0.0407404,0.000231907,0.00576501,-0.00576501,0.0675331,-0.0675331,1525,0.00418131,-0.00418131,0.0866954,-0.0866954,1524.96
0.9600,0.882647,-4.74083e-05,0.0163666,0.0247317,-0.0412986,-0.000868301,1.80042,-0.000739001,-0.0132462,-0.0560808,-0.0382056,0.000275856,0.00574882,-0.00574882,0.0609708,-0.0609708,1525,0.00449805,-0.00449805,0.0828629,-0.0828629,1524.97
0.9800,0.919125,-8.65745e-05,0.0176087,0.0236953,-0.0420128,-0.000879277,1.82492,-0.000702166,-0.0132372,-0.0518438,-0.0357166,0.000335042,0.00565633,-0.00565633,0.0541081,-0.0541081,1525,0.0047482,-0.0047482,0.0784845,-0.0784845,1524.97
1.0000,0.956078,-0.000126122,0.0188976,0.0227499,-0.0426789,-0.000886911,1.84869,-0.000665718,-0.013199,-0.0472836,-0.0333014,0.000407768,0.00549556,-0.00549556,0.0470285,-0.0470285,1525,0.00492983,-0.00492983,0.0736092,-0.0736092,1524.98
1.0200,0.99349,-0.000165939,0.0202321,0.0219003,-0.0432987,-0.000891174,1.87176,-0.000630761,-0.0131365,-0.0424911,-0.0309865,0.000492045,0.00527598,-0.00527598,0.039818,-0.039818,1525,0.00504298,-0.00504298,0.0682931,-0.0682931,1524.98
