# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = PowerLawProfile
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.5600,0.279606,0.000418084,0.00201622,0.0432155,-0.0186174,-0.000255484,1.14491,0.00013304,-0.0045007,0.0294941,-0.0668335,0.00132808,-0.00330733,0.00330733,0.074763,-0.074763,1525,-0.00275309,0.00275309,0.0460336,-0.0460336,1522.05
0.5800,0.303382,0.000416067,0.00235876,0.0435566,-0.0199746,-0.000287687,1.18891,-1.364e-05,-0.00501114,0.0170273,-0.0678662,0.00132337,-0.00310357,0.00310357,0.0802787,-0.0802787,1525,-0.00286394,0.00286394,0.0517794,-0.0517794,1522.64
0.6000,0.328019,0.000410694,0.00274015,0.0436565,-0.0213481,-0.00032152,1.23198,-0.000155512,-0.00553664,0.00496037,-0.0686832,0.00130058,-0.00280806,0.00280806,0.0855414,-0.0855414,1525,-0.00291187,0.00291187,0.0574793,-0.0574793,1523.11
0.6200,0.353498,0.000402,0.00316254,0.0435264,-0.0227336,-0.000356817,1.27412,-0.000290446,-0.00607331,-0.00654305,-0.0692816,0.00126039,-0.0024243,0.0024243,0.0905056,-0.0905056,1525,-0.00289111,0.00289111,0.0630917,-0.0630917,1523.49
0.6400,0.379801,0.00039005,0.00362798,0.0431805,-0.0241265,-0.000393391,1.31532,-0.000416554,-0.00661709,-0.0173402,-0.0696594,0.00120398,-0.00195836,0.00195836,0.0951257,-0.0951257,1525,-0.00279775,0.00279775,0.0685745,-0.0685745,1523.79
0.6600,0.406908,0.000374936,0.00413848,0.0426352,-0.0255225,-0.000431036,1.35561,-0.000532222,-0.00716378,-0.02731,-0.0698153,0.00113307,-0.00141869,0.00141869,0.0993572,-0.0993572,1525,-0.00262987,0.00262987,0.0738847,-0.0738847,1524.03
0.6800,0.434803,0.000356773,0.00469593,0.0419091,-0.0269171,-0.000469529,1.39497,-0.000636132,-0.00770908,-0.0363538,-0.0697494,0.00104977,-0.000815868,0.000815868,0.103157,-0.103157,1525,-0.00238763,0.00238763,0.0789792,-0.0789792,1524.23
0.7000,0.463465,0.000335694,0.00530213,0.0410222,-0.0283059,-0.000508634,1.43343,-0.000727272,-0.00824866,-0.0443949,-0.0694624,0.000956564,-0.000162215,0.000162215,0.106485,-0.106485,1525,-0.00207328,0.00207328,0.0838148,-0.0838148,1524.38
0.7200,0.492878,0.000311849,0.00595876,0.0399958,-0.0296846,-0.000548099,1.47098,-0.000804947,-0.00877825,-0.0513783,-0.0689569,0.000856226,0.00052856,-0.00052856,0.109303,-0.109303,1525,-0.00169107,0.00169107,0.0883489,-0.0883489,1524.51
0.7400,0.523023,0.000285397,0.00666737,0.0388515,-0.0310488,-0.000587663,1.50765,-0.000868779,-0.00929364,-0.0572702,-0.0682365,0.000751716,0.00124182,-0.00124182,0.111577,-0.111577,1525,-0.00124714,0.00124714,0.0925398,-0.0925398,1524.6
0.7600,0.553883,0.000256507,0.00742937,0.0376116,-0.0323944,-0.000627056,1.54344,-0.000918696,-0.00979079,-0.0620564,-0.0673063,0.000646084,0.00196246,-0.00196246,0.113276,-0.113276,1525,-0.00074935,0.00074935,0.0963472,-0.0963472,1524.68
0.7800,0.58544,0.000225354,0.00824601,0.0362981,-0.0337174,-0.000666003,1.57836,-0.000954924,-0.0102659,-0.0657413,-0.0661732,0.000542378,0.00267541,-0.00267541,0.114376,-0.114376,1525,-0.000206988,0.000206988,0.099733,-0.099733,1524.75
0.8000,0.617678,0.000192115,0.00911838,0.0349324,-0.0350137,-0.000704224,1.61242,-0.000977963,-0.0107153,-0.0683466,-0.0648454,0.000443547,0.00336604,-0.00336604,0.114856,-0.114856,1525,0.000369491,-0.000369491,0.102662,-0.102662,1524.8
0.8200,0.650578,0.000156965,0.0100474,0.0335355,-0.0362799,-0.000741443,1.64565,-0.000988561,-0.0111359,-0.0699093,-0.0633331,0.000352354,0.00402064,-0.00402064,0.114702,-0.114702,1525,0.000968801,-0.000968801,0.1051,-0.1051,1524.84
0.8400,0.684126,0.000120077,0.0110339,0.0321273,-0.0375123,-0.000777384,1.67805,-0.000987682,-0.0115247,-0.0704798,-0.0616478,0.000271295,0.00462676,-0.00462676,0.113905,-0.113905,1525,0.00157917,-0.00157917,0.107021,-0.107021,1524.87
0.8600,0.718303,8.16203e-05,0.0120783,0.0307261,-0.0387079,-0.000811779,1.70964,-0.000976478,-0.0118792,-0.0701207,-0.0598029,0.000202534,0.00517357,-0.00517357,0.112465,-0.112465,1525,0.00218869,-0.00218869,0.108398,-0.108398,1524.9
0.8800,0.753095,4.17556e-05,0.0131811,0.0293493,-0.0398637,-0.00084437,1.74043,-0.000956244,-0.0121976,-0.068904,-0.0578132,0.000147846,0.00565212,-0.00565212,0.110387,-0.110387,1525,0.00278566,-0.00278566,0.109211,-0.109211,1524.92
0.9000,0.788486,6.3661e-07,0.0143424,0.0280123,-0.0409772,-0.000874911,1.77043,-0.000928387,-0.0124782,-0.0669099,-0.0556949,0.000108578,0.00605554,-0.00605554,0.107682,-0.107682,1525,0.00335895,-0.00335895,0.109446,-0.109446,1524.93
0.9200,0.824459,-4.15924e-05,0.0155623,0.026729,-0.0420461,-0.000903173,1.79967,-0.000894385,-0.0127201,-0.0642246,-0.0534657,8.56278e-05,0.00637913,-0.00637913,0.10437,-0.10437,1525,0.00389827,-0.00389827,0.109093,-0.109093,1524.95
0.9400,0.861001,-8.47973e-05,0.0168406,0.0255113,-0.0430687,-0.000928945,1.82816,-0.000855748,-0.0129227,-0.0609384,-0.0511445,7.94347e-05,0.00662043,-0.00662043,0.100476,-0.100476,1525,0.00439444,-0.00439444,0.108149,-0.108149,1524.96
0.9600,0.898096,-0.000128855,0.018177,0.0243694,-0.0440434,-0.000952038,1.8559,-0.000813989,-0.0130862,-0.0571444,-0.048751,8.9989e-05,0.00677917,-0.00677917,0.0960328,-0.0960328,1525,0.00483964,-0.00483964,0.106614,-0.106614,1524.97
