# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.5600,0.277656,0.000342188,0.0018817,0.0430449,-0.0176229,0.000444552,1.13112,-0.00103687,-0.00440379,0.0286776,-0.0595604,0.00670991,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870977,-0.0870977,0.0870977,-0.0870977,1522.05
0.5800,0.301127,0.000329422,0.00219714,0.043368,-0.018827,0.000541273,1.17361,-0.00137017,-0.00485538,0.0162416,-0.0599402,0.00742148,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871314,-0.0871314,0.0871314,-0.0871314,1522.64
0.6000,0.325426,0.000312834,0.00254697,0.0434505,-0.0200353,0.000652335,1.2151,-0.00171913,-0.00531544,0.00423076,-0.0601192,0.00816626,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871584,-0.0871584,0.0871584,-0.0871584,1523.11
0.6200,0.350535,0.000292616,0.00293276,0.0433042,-0.021244,0.000778867,1.25558,-0.0020829,-0.00578059,-0.0071888,-0.0601027,0.00894443,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.08718,-0.08718,0.08718,-0.08718,1523.49
0.6400,0.376433,0.000269026,0.00335603,0.0429437,-0.0224493,0.000921984,1.29505,-0.00246085,-0.00624737,-0.0178721,-0.0598962,0.00975632,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871973,-0.0871973,0.0871973,-0.0871973,1523.79
0.6600,0.4031,0.000242376,0.00381818,0.0423862,-0.0236474,0.00108278,1.33354,-0.00285263,-0.00671222,-0.0276965,-0.0595053,0.0106024,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872112,-0.0872112,0.0872112,-0.0872112,1524.03
0.6800,0.430517,0.000213036,0.00432053,0.0416507,-0.0248348,0.00126235,1.37104,-0.00325812,-0.00717156,-0.0365616,-0.0589363,0.0114832,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872222,-0.0872222,0.0872222,-0.0872222,1524.23
0.7000,0.458664,0.000181428,0.00486427,0.040758,-0.026008,0.00146172,1.40756,-0.00367749,-0.00762177,-0.0443896,-0.0581952,0.0123994,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872311,-0.0872311,0.0872311,-0.0872311,1524.38
0.7200,0.487521,0.000148021,0.0054505,0.0397297,-0.0271637,0.00168191,1.44313,-0.0041112,-0.00805927,-0.051125,-0.0572883,0.0133514,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872381,-0.0872381,0.0872381,-0.0872381,1524.51
0.7400,0.51707,0.000113329,0.00608019,0.0385885,-0.0282986,0.00192391,1.47775,-0.00455995,-0.00848048,-0.0567335,-0.0562219,0.0143399,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872438,-0.0872438,0.0872438,-0.0872438,1524.6
