# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.25
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.6000,0.327741,0.00031119,0.00258291,0.0433989,-0.0201893,0.000658478,1.23194,-0.00175255,-0.00542931,0.00380716,-0.0611431,0.00828579,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871584,-0.0871584,0.0871584,-0.0871584,1523.11
0.6200,0.353225,0.000290668,0.00297744,0.043243,-0.0214204,0.00078696,1.27436,-0.00212378,-0.0059148,-0.00766597,-0.0612184,0.00908728,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.08718,-0.08718,0.08718,-0.08718,1523.49
0.6400,0.379539,0.00026675,0.00341102,0.0428718,-0.0226499,0.000932491,1.31588,-0.00251046,-0.00640399,-0.018405,-0.0611042,0.00992569,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871973,-0.0871973,0.0871973,-0.0871973,1523.79
0.6600,0.406666,0.00023976,0.00388527,0.0423024,-0.0238742,0.00109625,1.35651,-0.00291237,-0.0068933,-0.0282867,-0.0608055,0.0108017,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872112,-0.0872112,0.0872112,-0.0872112,1524.03
0.6800,0.434587,0.000210078,0.00440168,0.0415538,-0.0250896,0.00127939,1.39627,-0.00332956,-0.0073791,-0.0372103,-0.0603278,0.0117162,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872222,-0.0872222,0.0872222,-0.0872222,1524.23
0.7000,0.463285,0.00017814,0.00496165,0.0406467,-0.0262926,0.00148305,1.43515,-0.00376238,-0.0078577,-0.0450973,-0.0596764,0.01267,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872311,-0.0872311,0.0872311,-0.0872311,1524.38
0.7200,0.492743,0.000144434,0.0055665,0.039603,-0.0274799,0.00170835,1.47317,-0.00421147,-0.00832537,-0.0518915,-0.0588569,0.013664,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872381,-0.0872381,0.0872381,-0.0872381,1524.51
0.7400,0.522943,0.000109497,0.00621741,0.038445,-0.0286481,0.00195636,1.51035,-0.00467772,-0.0087784,-0.0575581,-0.0578748,0.0146989,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872438,-0.0872438,0.0872438,-0.0872438,1524.6
0.7600,0.55387,7.39124e-05,0.00691546,0.0371956,-0.0297941,0.00222814,1.54668,-0.00516232,-0.00921307,-0.0620825,-0.0567358,0.0157754,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872483,-0.0872483,0.0872483,-0.0872483,1524.68
0.7800,0.585505,3.83047e-05,0.00766161,0.0358773,-0.0309148,0.00252468,1.58218,-0.00566668,-0.0096257,-0.0654693,-0.0554455,0.0168942,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087252,-0.087252,0.087252,-0.087252,1524.75
0.8000,0.617834,3.3375e-06,0.00845669,0.0345126,-0.0320072,0.00284697,1.61687,-0.00619244,-0.0100127,-0.0677404,-0.0540096,0.0180555,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872549,-0.0872549,0.0872549,-0.0872549,1524.8
0.8200,0.650839,-3.02902e-05,0.0093014,0.0331227,-0.0330686,0.00319592,1.65076,-0.00674147,-0.0103704,-0.0689339,-0.0524337,0.0192595,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872572,-0.0872572,0.0872572,-0.0872572,1524.84
0.8400,0.684505,-6.18474e-05,0.0101963,0.0317282,-0.0340961,0.00357243,1.68385,-0.00731576,-0.0106955,-0.0691019,-0.0507234,0.0205061,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087259,-0.087259,0.087259,-0.087259,1524.87
0.8600,0.718816,-9.05738e-05,0.0111419,0.0303483,-0.0350871,0.00397733,1.71616,-0.00791747,-0.0109845,-0.0683086,-0.0488842,0.0217949,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872605,-0.0872605,0.0872605,-0.0872605,1524.9
0.8800,0.753757,-0.000115683,0.0121385,0.0290005,-0.0360391,0.00441141,1.74771,-0.00854885,-0.0112342,-0.0666285,-0.0469216,0.0231252,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872617,-0.0872617,0.0872617,-0.0872617,1524.92
0.9000,0.789313,-0.000136364,0.0131862,0.0277009,-0.0369498,0.00487542,1.77851,-0.00921222,-0.0114413,-0.0641446,-0.0448411,0.0244961,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872627,-0.0872627,0.0872627,-0.0872627,1524.93
0.9200,0.825469,-0.000151785,0.0142851,0.0264637,-0.0378168,0.00537006,1.80856,-0.00990993,-0.011603,-0.0609461,-0.0426481,0.0259063,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0872634,-0.0872634,0.0872634,-0.0872634,1524.95
0.9400,0.86221,-0.000161094,0.0154351,0.0253012,-0.0386379,0.00589598,1.83789,-0.0106443,-0.0117162,-0.0571269,-0.0403479,0.0273544,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.087264,-0.087264,0.087264,-0.087264,1524.96
